,,Shot Data,,,Corsi (5v5),,,Fenwick (5v5),,,Possession Quality,,,,,Scoring Chances,,,,,,,,,
Rk,,S%,SV%,PDO,CF,CA,CF%,FF,FA,FF%,xGF,xGA,aGF,aGA,axDiff,SCF,SCA,SCF%,HDF,HDA,HDF%,HDGF,HDC%,HDGA,HDCO%
1,Nashville Predators*,7.6,0.939,101.6,3854,3629,51.5,2857,2689,51.5,162.8,166.5,168,128,44,1540,1575,49.4,319,345,48,65,16.9,41,10.6
2,Winnipeg Jets*,7.9,0.931,101,3815,3590,51.5,2847,2657,51.7,167.7,148.1,176,144,12,1578,1427,52.5,326,303,51.8,56,14.7,48,13.7
3,Tampa Bay Lightning*,8.6,0.934,102,3879,3640,51.6,2925,2762,51.4,177.2,169.2,196,146,42,1695,1620,51.1,358,273,56.7,68,16,43,13.6
4,Boston Bruins*,7.3,0.929,100.2,3916,3373,53.7,2948,2532,53.8,171.6,145.8,166,138,2,1694,1466,53.6,338,315,51.8,55,14,47,13
5,Vegas Golden Knights*,7.8,0.927,100.5,3885,3755,50.9,2884,2802,50.7,167.4,164.7,175,157,15,1707,1603,51.6,287,296,49.2,47,14.1,54,15.4
6,Washington Capitals*,8.5,0.93,101.4,3618,3923,48,2659,2958,47.3,152.6,169.4,171,154,34,1579,1712,48,288,388,42.6,49,14.5,66,14.5
7,Toronto Maple Leafs*,8.3,0.933,101.6,3967,3999,49.8,2928,3089,48.7,189.9,178.2,187,158,17,1874,1791,51.1,420,365,53.5,73,14.8,55,13.1
8,Minnesota Wild*,7.6,0.932,100.7,3442,3850,47.2,2607,2809,48.1,163.7,143.5,160,145,-5,1514,1394,52.1,340,278,55,53,13.5,52,15.8
9,Anaheim Ducks*,7.5,0.937,101.2,3665,3883,48.6,2753,2928,48.5,156.1,170.1,157,137,34,1620,1697,48.8,334,353,48.6,61,15.4,48,12
10,San Jose Sharks*,7.1,0.922,99.3,4073,3929,50.9,2968,2773,51.7,173.8,167.6,159,166,-13,1695,1622,51.1,413,347,54.3,60,12.7,59,14.5
11,Pittsburgh Penguins*,6.7,0.918,98.5,3969,3622,52.3,3016,2665,53.1,191.2,168.6,161,176,-38,1761,1624,52,382,356,51.8,54,12.4,63,15
12,Los Angeles Kings*,7.4,0.936,101,3695,3692,50,2739,2771,49.7,147.5,156.4,155,134,30,1593,1556,50.6,315,331,48.8,52,14.2,41,11
13,Philadelphia Flyers*,7.3,0.93,100.3,3662,3705,49.7,2737,2729,50.1,160.8,152.8,158,145,5,1440,1573,47.8,335,316,51.5,63,15.8,60,16
14,Columbus Blue Jackets*,6.9,0.933,100.2,4049,3815,51.5,3106,2799,52.6,184.3,176.7,169,149,12,1791,1653,52,359,376,48.8,54,13.1,46,10.9
15,New Jersey Devils*,7.3,0.924,99.7,3586,3797,48.6,2769,2881,49,165.7,162.9,160,167,-10,1543,1590,49.2,328,295,52.6,55,14.4,52,15
16,Florida Panthers,7.1,0.929,100,3803,3927,49.2,2966,2963,50,167.9,173.2,167,168,4,1636,1580,50.9,306,350,46.6,51,14.3,56,13.8
17,Colorado Avalanche*,7.6,0.936,101.3,3491,3842,47.6,2530,2847,47.1,141.4,158.9,152,140,30,1467,1557,48.5,262,334,44,34,11.5,51,13.2
18,St. Louis Blues,6.7,0.933,100,3895,3639,51.7,2893,2597,52.7,162,156.7,150,138,7,1607,1473,52.2,321,317,50.3,48,13,51,13.9
19,Dallas Stars,7.1,0.932,100.3,3727,3578,51,2681,2566,51.1,162.3,141.8,148,135,-8,1564,1479,51.4,321,278,53.6,45,12.3,33,10.6
20,Calgary Flames,6.4,0.925,98.9,4176,3630,53.5,3126,2738,53.3,167.7,151.9,147,158,-27,1665,1554,51.7,374,340,52.4,46,11,54,13.7
21,Carolina Hurricanes,6.6,0.916,98.2,4260,3559,54.5,3114,2738,53.2,171.6,156.7,155,179,-39,1707,1561,52.2,385,319,54.7,65,14.4,57,15.2
22,New York Islanders,8.1,0.923,100.4,3739,4139,47.5,2732,3106,46.8,174.4,196.6,177,190,9,1610,1839,46.7,347,376,48,61,15,68,15.3
23,Edmonton Oilers,7,0.924,99.4,4049,3953,50.6,3037,2903,51.1,184.8,179.2,163,176,-19,1764,1714,50.7,374,360,51,51,12,50,12.2
24,New York Rangers,7,0.927,99.8,3537,4162,45.9,2690,3148,46.1,170.8,192.5,150,182,-10,1634,1769,48,376,419,47.3,60,13.8,65,13.4
25,Chicago Blackhawks,6.6,0.924,99.1,4201,3822,52.4,2952,2832,51,181.9,181.2,157,173,-17,1732,1742,49.9,338,350,49.1,51,13.1,59,14.4
26,Vancouver Canucks,6.7,0.927,99.4,3498,3833,47.7,2642,2898,47.7,151,175.2,138,164,-2,1532,1773,46.4,308,338,47.7,47,13.2,54,13.8
27,Detroit Red Wings,7,0.925,99.5,3574,3748,48.8,2746,2818,49.4,154.2,170.7,148,167,-3,1507,1537,49.5,313,335,48.3,57,15.4,62,15.6
28,Montreal Canadiens,5.9,0.928,98.7,3945,3862,50.5,2825,2785,50.4,164.3,154,130,158,-38,1560,1541,50.3,358,344,51,53,12.9,57,14.2
29,Arizona Coyotes,6.8,0.927,99.5,3774,4073,48.1,2729,3084,46.9,154.1,169.5,140,165,-10,1549,1780,46.5,356,398,47.2,42,10.6,55,12.1
30,Ottawa Senators,7.2,0.916,98.8,3686,4121,47.2,2719,2992,47.6,152.7,170.5,152,198,-28,1492,1665,47.3,321,354,47.6,59,15.5,56,13.7
31,Buffalo Sabres,5.8,0.923,98,3381,3720,47.6,2602,2868,47.6,136.1,160.6,119,176,-33,1330,1513,46.8,271,324,45.5,37,12,69,17.6
